Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V89	3000.0	0.993	517.876	17.263%	73.587	12.613%	0.03835	0.991
V90	3000.0	0.998	295.025	9.834%	41.048	6.936%	0.01322	0.997
V91	3000.0	0.994	457.955	15.265%	69.21	11.638%	0.03637	0.991
V92	3000.0	0.994	451.771	15.059%	66.846	11.308%	0.03417	0.992
V93	3000.0	0.992	484.326	16.144%	75.085	12.82%	0.0374	0.989
V94	3000.0	0.99	520.891	17.363%	85.851	14.625%	0.03915	0.986
V95	3000.0	0.992	514.744	17.158%	79.417	13.423%	0.03956	0.99
V96	3000.0	0.998	248.881	8.296%	33.966	5.744%	0.00937	0.998
V97	3000.0	0.995	432.536	14.418%	61.507	10.517%	0.02532	0.993
V98	3000.0	0.992	458.586	15.286%	76.888	12.63%	0.03425	0.99
V99	3000.0	0.994	434.902	14.497%	63.96	10.976%	0.0331	0.992
V100	3000.0	0.991	518.079	17.269%	83.153	14.152%	0.0407	0.987
V101	3000.0	0.993	493.707	16.457%	72.924	12.365%	0.03595	0.99
V102	3000.0	0.993	478.811	15.96%	74.675	12.642%	0.03682	0.99
V103	3000.0	0.993	449.263	14.975%	73.158	12.428%	0.0324	0.99
V104	3000.0	0.993	482.336	16.078%	74.378	12.583%	0.03091	0.99
V105	3000.0	0.992	482.869	16.096%	77.413	12.975%	0.03448	0.99
V106	3000.0	0.993	483.561	16.119%	72.886	12.418%	0.03387	0.991
V107	3000.0	0.992	492.009	16.4%	73.996	12.739%	0.03525	0.99
V108	3000.0	0.993	433.139	14.438%	71.668	11.971%	0.03934	0.991
V109	3000.0	0.989	553.738	18.458%	89.243	15.215%	0.04533	0.985
V110	3000.0	0.992	462.788	15.426%	75.251	12.792%	0.03897	0.99
V111	3000.0	0.991	511.394	17.046%	86.366	14.606%	0.03827	0.988
V112	3000.0	0.993	531.44	17.715%	77.78	13.192%	0.03856	0.99
V113	3000.0	0.993	448.167	14.939%	72.334	12.132%	0.03577	0.991
V114	3000.0	0.991	488.541	16.285%	79.855	13.725%	0.03504	0.988
V115	3000.0	0.991	478.334	15.944%	80.451	13.696%	0.03663	0.989
V116	3000.0	0.992	475.15	15.838%	78.444	13.302%	0.03772	0.989
V117	3000.0	0.992	501.798	16.727%	76.976	13.074%	0.0388	0.989
V118	3000.0	0.991	513.954	17.132%	80.634	13.928%	0.03589	0.988
V119	3000.0	0.994	461.851	15.395%	68.752	11.638%	0.0341	0.992
V120	3000.0	0.994	480.19	16.006%	68.343	11.537%	0.03434	0.991
V121	3000.0	0.994	453.089	15.103%	69.304	11.481%	0.03181	0.992
V122	3000.0	0.992	533.143	17.771%	81.182	13.74%	0.04266	0.989
V123	3000.0	0.994	437.546	14.585%	66.484	11.403%	0.03327	0.992
V124	3000.0	0.991	545.121	18.171%	84.139	14.094%	0.04118	0.988
V125	3000.0	0.991	511.496	17.05%	85.072	14.133%	0.0411	0.988
