Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	50.0	0.85	42.001	84.002%	5.472	52.654%	0.72281	0.797
V2	50.0	0.881	37.187	74.374%	5.038	47.605%	0.6197	0.842
V3	50.0	0.773	52.363	104.726%	7.809	65.998%	1.04972	0.718
V4	50.0	0.846	44.024	88.048%	5.535	53.261%	0.73589	0.792
V5	50.0	0.849	45.931	91.862%	6.584	54.49%	0.86936	0.816
V6	50.0	0.855	38.415	76.83%	5.908	52.633%	0.69211	0.815
V7	50.0	0.891	37.911	75.822%	5.096	45.399%	0.63859	0.86
V8	50.0	0.799	41.542	83.084%	6.195	61.34%	0.88014	0.723
V9	50.0	0.841	42.04	84.08%	6.351	54.063%	0.7231	0.8
V10	50.0	0.891	44.643	89.286%	6.315	49.924%	0.8559	0.873
V11	50.0	0.814	43.99	87.98%	6.592	58.266%	0.7876	0.759
V12	50.0	0.751	48.305	96.61%	6.886	66.261%	0.80119	0.653
V13	50.0	0.863	40.27	80.54%	5.532	51.363%	0.72543	0.821
V14	50.0	0.861	38.922	77.844%	6.362	51.603%	0.60012	0.831
V15	50.0	0.808	46.504	93.008%	6.628	59.047%	0.74613	0.751
V16	50.0	0.843	42.312	84.624%	5.75	53.854%	0.72924	0.79
V17	50.0	0.843	42.203	84.406%	5.798	53.833%	0.7235	0.792
V18	50.0	0.841	41.474	82.948%	5.993	54.258%	0.63442	0.794
V19	50.0	0.845	41.664	83.328%	5.812	53.504%	0.69404	0.795
V20	50.0	0.856	47.687	95.374%	7.026	52.08%	0.91555	0.83
V21	50.0	0.841	45.836	91.672%	5.926	54.097%	0.77992	0.791
V22	50.0	0.881	40.451	80.902%	5.382	49.545%	0.73611	0.849
V23	50.0	0.795	48.878	97.756%	6.666	60.852%	0.84103	0.729
V24	50.0	0.872	42.555	85.11%	5.446	48.907%	0.67219	0.835
V25	50.0	0.809	41.332	82.664%	6.125	58.938%	0.73844	0.738
V26	50.0	0.788	46.898	93.796%	7.075	62.052%	0.86255	0.726
V27	50.0	0.905	35.3	70.6%	4.699	42.543%	0.59109	0.878
V28	50.0	0.838	41.773	83.546%	5.759	55.416%	0.8125	0.783
V29	50.0	0.824	43.048	86.096%	6.079	57.961%	0.82694	0.766
V30	50.0	0.874	36.362	72.724%	5.052	48.613%	0.58512	0.83
V31	50.0	0.841	41.453	82.906%	5.521	54.666%	0.70574	0.782
V32	50.0	0.836	45.458	90.916%	6.131	55.968%	0.79088	0.787
V33	50.0	0.838	44.064	88.128%	6.91	54.628%	0.76196	0.803
V34	50.0	0.882	38.774	77.548%	5.262	47.254%	0.5834	0.848
V35	50.0	0.862	46.143	92.286%	6.697	51.979%	0.77704	0.838
V36	50.0	0.812	43.336	86.672%	5.743	58.614%	0.76247	0.732
V37	50.0	0.855	43.899	87.798%	5.823	52.292%	0.77553	0.813
V38	50.0	0.803	45.945	91.89%	6.854	59.656%	0.7586	0.746
V39	50.0	0.818	42.836	85.672%	6.098	57.621%	0.70711	0.755
V40	50.0	0.83	42.185	84.37%	6.115	56.293%	0.80732	0.776
V41	50.0	0.897	36.579	73.158%	5.124	44.265%	0.71701	0.87
V42	50.0	0.849	41.802	83.604%	5.744	52.878%	0.6663	0.801
V43	50.0	0.785	50.383	100.766%	6.623	62.03%	0.86896	0.71
V44	50.0	0.785	53.323	106.646%	7.224	61.945%	0.93814	0.726
V45	50.0	0.863	43.739	87.478%	6.067	52.806%	0.80268	0.83
V46	50.0	0.861	39.186	78.372%	5.738	51.118%	0.65008	0.821
V47	50.0	0.884	38.644	77.288%	5.221	46.886%	0.68033	0.85
V48	50.0	0.84	41.918	83.836%	5.627	54.654%	0.69015	0.783
V49	50.0	0.82	43.878	87.756%	6.215	57.214%	0.73566	0.762
V50	50.0	0.797	44.597	89.194%	6.235	60.56%	0.78689	0.719
V51	50.0	0.87	34.827	69.654%	5.154	49.594%	0.66607	0.825
V52	50.0	0.864	37.823	75.646%	5.287	50.41%	0.59683	0.817
V53	50.0	0.89	39.269	78.538%	5.241	45.617%	0.68629	0.861
V54	50.0	0.836	46.764	93.528%	7.027	54.872%	0.84578	0.802
V55	50.0	0.895	37.651	75.302%	5.094	44.677%	0.63182	0.867
V56	50.0	0.859	40.095	80.19%	5.787	52.393%	0.76785	0.819
V57	50.0	0.845	44.718	89.436%	6.252	53.61%	0.69634	0.804
V58	50.0	0.772	50.528	101.056%	7.501	63.853%	0.92239	0.71
V59	50.0	0.828	40.69	81.38%	5.57	56.265%	0.61901	0.759
V60	50.0	0.843	43.477	86.954%	6.101	53.926%	0.75941	0.799
V61	50.0	0.84	43.454	86.908%	6.65	54.297%	0.74538	0.802
