Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V62	50.0	0.85	45.17	90.34%	5.955	53.051%	0.78841	0.807
V63	50.0	0.87	37.922	75.844%	5.493	49.329%	0.68809	0.832
V64	50.0	0.85	43.194	86.388%	5.769	52.664%	0.71284	0.804
V65	50.0	0.837	43.683	87.366%	5.743	54.757%	0.67322	0.779
V66	50.0	0.824	45.366	90.732%	5.605	56.619%	0.76798	0.751
V67	50.0	0.853	41.178	82.356%	5.942	52.115%	0.65419	0.813
V68	50.0	0.831	46.908	93.816%	6.217	55.83%	0.76589	0.78
V69	50.0	0.831	44.501	89.002%	6.294	55.632%	0.70766	0.782
V70	50.0	0.87	39.258	78.516%	5.375	49.481%	0.63827	0.831
V71	50.0	0.879	38.45	76.9%	5.284	47.839%	0.62196	0.844
V72	50.0	0.817	47.636	95.272%	7.071	57.734%	0.79099	0.773
V73	50.0	0.857	42.936	85.872%	6.204	52.063%	0.83358	0.822
V74	50.0	0.885	40.91	81.82%	5.557	46.633%	0.63971	0.857
V75	50.0	0.85	39.675	79.35%	5.333	52.805%	0.59491	0.792
V76	50.0	0.849	47.115	94.23%	6.496	53.04%	0.80562	0.815
V77	50.0	0.867	38.644	77.288%	6.227	49.856%	0.61493	0.838
V78	50.0	0.867	38.504	77.008%	5.324	49.864%	0.67593	0.824
V79	50.0	0.813	43.243	86.486%	6.159	58.197%	0.65595	0.748
V80	50.0	0.82	47.224	94.448%	6.84	58.226%	0.78559	0.778
V81	50.0	0.813	46.951	93.902%	6.343	58.392%	0.84756	0.752
V82	50.0	0.861	37.872	75.744%	5.23	52.3%	0.73035	0.812
V83	50.0	0.794	45.793	91.586%	7.331	61.092%	0.91169	0.741
V84	50.0	0.865	46.277	92.554%	6.728	50.428%	0.73082	0.84
V85	50.0	0.857	42.465	84.93%	6.438	51.879%	0.70207	0.825
V86	50.0	0.859	39.523	79.046%	5.813	51.786%	0.73061	0.82
V87	50.0	0.855	40.621	81.242%	6.195	51.987%	0.71306	0.82
V88	50.0	0.843	44.252	88.504%	6.241	54.321%	0.80174	0.801
V89	50.0	0.854	43.269	86.538%	6.229	52.273%	0.7245	0.819
V90	50.0	0.834	46.777	93.554%	6.309	55.334%	0.7968	0.787
V91	50.0	0.882	35.355	70.71%	4.763	47.161%	0.61231	0.838
V92	50.0	0.878	37.966	75.932%	5.214	47.999%	0.62358	0.841
V93	50.0	0.78	46.844	93.688%	6.444	62.59%	0.7236	0.694
V94	50.0	0.833	41.594	83.188%	5.603	55.478%	0.63438	0.768
V95	50.0	0.871	38.911	77.822%	5.354	49.288%	0.70456	0.831
V96	50.0	0.873	40.748	81.496%	5.353	50.135%	0.77651	0.835
V97	50.0	0.86	39.826	79.652%	5.445	50.997%	0.67772	0.814
V98	50.0	0.901	38.262	76.524%	5.011	43.615%	0.65925	0.876
V99	50.0	0.806	42.996	85.992%	6.216	59.267%	0.67954	0.736
V100	50.0	0.884	39.248	78.496%	5.764	46.752%	0.69956	0.858
V101	50.0	0.876	35.485	70.97%	5.41	48.583%	0.60955	0.84
V102	50.0	0.895	34.053	68.106%	5.755	44.667%	0.647	0.875
V103	50.0	0.844	41.603	83.206%	5.524	53.654%	0.67766	0.787
V104	50.0	0.823	45.944	91.888%	6.379	56.829%	0.77743	0.77
V105	50.0	0.848	45.747	91.494%	6.253	53.229%	0.73797	0.81
V106	50.0	0.857	41.222	82.444%	5.797	52.059%	0.68174	0.816
V107	50.0	0.824	52.334	104.668%	7.653	57.042%	0.93629	0.791
V108	50.0	0.848	45.746	91.492%	6.16	53.214%	0.78562	0.807
V109	50.0	0.832	44.713	89.426%	6.338	55.588%	0.76419	0.785
V110	50.0	0.852	42.721	85.442%	5.939	52.494%	0.67474	0.81
V111	50.0	0.804	51.827	103.654%	7.23	59.43%	0.88922	0.756
V112	50.0	0.791	48.688	97.376%	6.875	61.739%	0.77988	0.729
V113	50.0	0.878	41.51	83.02%	5.446	48.517%	0.7426	0.844
V114	50.0	0.84	42.54	85.08%	5.965	54.453%	0.78743	0.79
V115	50.0	0.88	40.776	81.552%	5.61	47.755%	0.68367	0.85
V116	50.0	0.792	45.386	90.772%	6.111	61.73%	0.81597	0.707
V117	50.0	0.854	44.663	89.326%	6.366	52.328%	0.72224	0.821
V118	50.0	0.808	47.55	95.1%	6.994	59.537%	0.93508	0.759
V119	50.0	0.808	43.435	86.87%	6.221	59.315%	0.75979	0.74
V120	50.0	0.893	37.566	75.132%	5.353	45.241%	0.73281	0.867
V121	50.0	0.777	49.1	98.2%	7.606	62.948%	0.81947	0.72
V122	50.0	0.793	55.184	110.368%	8.132	62.006%	0.98734	0.756
V123	50.0	0.818	45.132	90.264%	6.973	57.709%	0.73646	0.774
V124	50.0	0.846	39.179	78.358%	5.647	53.359%	0.6026	0.793
V125	50.0	0.842	45.204	90.408%	5.683	54.185%	0.74495	0.787
