ID	C_A.ACA	C_A.ACC	C_A.ACG	C_A.ACT	C_A.CCA	C_A.CCC	C_A.CCG	C_A.CCT	C_A.GCA	C_A.GCC	C_A.GCG	C_A.GCT	C_A.TCA	C_A.TCC	C_A.TCG	C_A.TCT	C_G.ACA	C_G.ACC	C_G.ACG	C_G.ACT	C_G.CCA	C_G.CCC	C_G.CCG	C_G.CCT	C_G.GCA	C_G.GCC	C_G.GCG	C_G.GCT	C_G.TCA	C_G.TCC	C_G.TCG	C_G.TCT	C_T.ACA	C_T.ACC	C_T.ACG	C_T.ACT	C_T.CCA	C_T.CCC	C_T.CCG	C_T.CCT	C_T.GCA	C_T.GCC	C_T.GCG	C_T.GCT	C_T.TCA	C_T.TCC	C_T.TCG	C_T.TCT	T_A.ATA	T_A.ATC	T_A.ATG	T_A.ATT	T_A.CTA	T_A.CTC	T_A.CTG	T_A.CTT	T_A.GTA	T_A.GTC	T_A.GTG	T_A.GTT	T_A.TTA	T_A.TTC	T_A.TTG	T_A.TTT	T_C.ATA	T_C.ATC	T_C.ATG	T_C.ATT	T_C.CTA	T_C.CTC	T_C.CTG	T_C.CTT	T_C.GTA	T_C.GTC	T_C.GTG	T_C.GTT	T_C.TTA	T_C.TTC	T_C.TTG	T_C.TTT	T_G.ATA	T_G.ATC	T_G.ATG	T_G.ATT	T_G.CTA	T_G.CTC	T_G.CTG	T_G.CTT	T_G.GTA	T_G.GTC	T_G.GTG	T_G.GTT	T_G.TTA	T_G.TTC	T_G.TTG	T_G.TTT
TCGA-A7-A0CE-01A-11W-A019-09	0	2	0	0	6	2	4	0	0	4	0	6	4	2	0	2	4	0	4	5	0	2	2	4	2	2	4	4	6	3	2	8	0	0	6	2	8	6	4	6	6	1	8	0	6	17	11	6	6	2	4	0	2	4	2	4	2	2	4	0	0	0	2	4	6	4	2	0	0	4	1	0	0	4	2	2	0	0	0	0	0	2	0	0	0	0	2	2	1	2	8	2	0	2	0	0
TCGA-A7-A0CG-01A-11W-A019-09	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	2	2	0	4	1	0	1	10	0	1	1	4	2	9	1	6	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-A7-A0CH-01A-21W-A019-09	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	4	8	0	0	0	2	0	14	2	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	0	1	2	0	2	0	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A0CJ-01A-21W-A019-09	0	0	0	1	2	1	0	1	0	2	1	1	0	1	0	0	1	0	0	1	2	1	1	0	0	0	0	1	0	0	0	3	1	1	7	0	2	1	4	0	2	0	6	1	2	4	3	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
TCGA-A7-A0D9-01A-31W-A071-09	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	4	2	0	0	0	2	0	0	0	4	0	8	6	0	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	4	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A0DA-01A-31D-A10Y-09	5	6	2	3	1	2	0	1	5	5	1	2	1	6	1	2	3	2	1	6	4	1	0	5	2	2	0	7	1	2	0	7	3	2	3	3	4	1	5	2	1	1	4	4	6	2	4	2	1	0	1	0	1	3	2	2	2	0	1	0	2	1	2	1	0	3	2	2	1	2	2	5	1	2	0	0	0	1	0	0	0	1	2	0	0	0	1	1	1	0	1	0	0	0	0	2
TCGA-A7-A0DB-01A-11D-A272-09	3	0	0	0	1	0	1	0	2	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	5	0	0	4	0	0	0	3	0	1	1	3	0	6	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
TCGA-A7-A13D-01A-13D-A272-09	2	6	0	0	1	0	2	1	0	2	0	3	1	1	1	1	4	0	2	3	4	0	3	2	1	3	0	3	5	3	4	3	7	1	5	3	1	1	6	2	0	2	3	2	3	5	4	3	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	2	2	0	2	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2
TCGA-A7-A13E-01A-11D-A272-09	2	1	2	0	2	0	4	3	2	1	2	0	1	0	1	0	0	0	0	2	2	1	5	2	0	0	0	0	1	0	2	3	2	0	21	2	0	0	13	2	4	4	15	0	0	5	5	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0	4	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0
TCGA-A7-A13F-01A-11D-A12Q-09	0	2	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	2	2	2	6	0	0	2	9	0	4	2	7	0	0	2	10	4	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	1	2	0	0	2	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
